MGYG000000074.fna,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0
MGYG000000172.fna,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000293.fna,0,0,100,0,0,0,0,0,0,63.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.53,67.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,16.86,32.43
MGYG000000534.fna,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000650.fna,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000694.fna,0,0,0,0,0,100,0,0,0,0,67.16,0,0,0,0,0,0,0,0,51.64,65.71,0,0,0,47.84,0,0,14.91,63.63,0,0,57.7,0,0,0,0,0,0,0,0,46.22,0,0,0,64.02,0,0,0,0,0
MGYG000000695.fna,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000707.fna,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000774.fna,0,0,0,0,0,0,0,0,100,0,0,31.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001010.fna,0,0,50.56,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.19,75.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.6,0,0,0,0,0,0,16.2,36.55
MGYG000001203.fna,0,0,0,0,0,70.38,0,0,0,0,100,0,0,0,0,0,0,0,0,62.6,73.74,0,0,0,57.88,0,0,19.25,71.83,0,0,61.95,0,0,0,0,0,0,0,0,54.29,0,0,0,71.51,0,0,0,0,0
MGYG000001246.fna,0,0,0,0,0,0,0,0,35.06,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001250.fna,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001311.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001415.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001444.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,45.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001493.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,36.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001564.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.67,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001663.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001731.fna,0,0,0,0,0,55.06,0,0,0,0,63.7,0,0,0,0,0,0,0,0,100,69.16,0,0,0,62.97,0,0,25.06,73.93,0,0,70.7,0,0,0,0,0,0,0,0,65.04,0,0,0,72.79,0,0,0,0,0
MGYG000001759.fna,0,0,0,0,0,65.62,0,0,0,0,70.26,0,0,0,0,0,0,0,0,64.77,100,0,0,0,58.79,0,0,22.54,75.56,0,0,67.83,0,0,0,0,0,0,0,0,61.51,0,0,0,74.75,0,0,0,0,0
MGYG000001763.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001971.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002133.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002566.fna,0,0,0,0,0,47.84,0,0,0,0,55.24,0,0,0,0,0,0,0,0,59.06,58.88,0,0,0,100,0,0,24.98,67.76,0,0,64.08,0,0,0,0,0,0,0,0,55.4,0,0,0,64.99,0,0,0,0,0
MGYG000002640.fna,0,0,26.84,0,0,0,0,0,0,32.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,27.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.58,0,0,0,0,0,0,11.45,14.44
MGYG000002642.fna,0,0,58.93,0,0,0,0,0,0,81.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.55,100,0,0,16.8,0,0,0,0,0,0,0,0,0,0,0,79.32,0,0,0,0,0,0,17.13,40.08
MGYG000002731.fna,0,0,0,0,0,28.52,0,0,0,0,35.14,0,0,0,0,0,0,0,0,44.97,43.19,0,0,0,47.79,0,0,100,53.07,0,0,46.6,0,0,0,0,0,0,0,0,45.93,0,0,0,50.79,0,0,0,0,0
MGYG000002733.fna,0,0,0,0,0,64.79,0,0,0,0,69.79,0,0,0,0,0,0,0,0,70.61,77.05,0,0,0,68.99,0,0,28.25,100,0,0,72.38,0,0,0,0,0,0,0,0,65.04,0,0,0,80.57,0,0,0,0,0
MGYG000002819.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.56,0,0,0,0,0,0,0,0,0,0,16.38,0,0,100,0,0,0,0,0,0,0,0,0,0,0,17.65,0,0,0,0,0,0,0,0
MGYG000002946.fna,0,19.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003234.fna,0,0,0,0,0,57.83,0,0,0,0,59.25,0,0,0,0,0,0,0,0,66.46,68.09,0,0,0,64.23,0,0,24.41,71.25,0,0,100,0,0,0,0,0,0,0,0,61.16,0,0,0,73.37,0,0,0,0,0
MGYG000003406.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003467.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003472.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,29.45,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003539.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003556.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003605.1.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.25,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003680.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
MGYG000003763.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
MGYG000003787.fna,0,0,0,0,0,50.07,0,0,0,0,56.12,0,0,0,0,0,0,0,0,66.08,66.73,0,0,0,60.01,0,0,26.01,69.19,0,0,66.1,0,0,0,0,0,0,0,0,100,0,0,0,71.26,0,0,0,0,0
MGYG000003902.fna,0,0,56.97,0,0,0,0,0,0,78.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.29,71.91,0,0,16.41,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,19.39,40.85
MGYG000004241.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
MGYG000004491.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
MGYG000004553.fna,0,0,0,0,0,65.03,0,0,0,0,69.31,0,0,0,0,0,0,0,0,69.34,76.04,0,0,0,66.01,0,0,26.97,80.37,0,0,74.36,0,0,0,0,0,0,0,0,66.81,0,0,0,100,0,0,0,0,0
MGYG000004621.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
MGYG000004627.fna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
MGYG000004658.fna,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
MGYG000004858.fna,0,0,31.18,0,0,0,0,0,0,37.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.67,36.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.33,0,0,0,0,0,0,100,28.94
MGYG000004894.fna,0,0,31.08,0,0,0,0,0,0,43.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,44.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.46,0,0,0,0,0,0,14.99,100
